date,open,high,low,close,volume
9/30/2022,75.61741045,76.16470032,75.25254822,75.25254822,5079137
10/3/2022,75.25254787,75.45322245,73.88431973,74.61404419,2403446
10/4/2022,75.43497406,79.79506683,74.79647038,79.79506683,1599630
10/5/2022,79.44844669,81.76531386,78.9193968,80.19641113,1321304
10/6/2022,81.82003589,85.46864408,81.4916606,82.75043488,2217065
10/7/2022,82.75044379,84.84838955,81.82004471,84.02745819,880174
10/10/2022,83.37070454,83.75380675,79.61263532,79.63088226,846094
10/11/2022,79.33899921,79.33899921,75.25255441,76.25592041,1123986
10/12/2022,77.31400984,79.46668924,76.83968688,79.21128082,9901667
10/13/2022,78.86468005,80.2693953,78.00725474,79.01062775,428569
10/14/2022,80.25114479,82.40381734,78.97413045,79.81330872,429830
10/17/2022,80.63424965,82.85989611,80.26938741,82.36734009,339747
10/18/2022,83.55313518,84.72068881,82.67746995,84.02745819,409208
10/19/2022,84.10042375,85.21325046,83.40719314,85.15852356,370590
10/20/2022,85.19501204,86.41729258,84.84838977,85.74230194,310989
10/21/2022,85.28622557,87.63957977,84.02745811,87.63957977,501026
10/24/2022,89.02604059,89.93819266,86.08890981,87.20173645,550487
10/25/2022,87.38417542,90.3030594,87.12876698,89.39090729,460671
10/26/2022,90.06590066,90.99629974,88.66118553,90.99629974,269652
10/27/2022,90.75913673,91.26082318,88.49699639,90.54022217,433145
10/28/2022,88.66118744,92.21858226,86.9828308,91.14224243,560826
10/31/2022,92.12735759,96.68811787,92.03614378,94.40773773,588243
11/1/2022,95.77596926,97.37223542,94.0428789,94.81820679,452231
11/2/2022,95.73035886,95.77596925,92.40100931,93.67801666,489465
11/3/2022,92.12735708,92.2185709,88.71591036,90.41251373,452700
11/4/2022,91.21521759,93.49559803,90.04766392,91.21521759,361874
11/7/2022,90.30306541,93.44998764,90.30306541,91.21521759,333079
11/8/2022,92.4922293,92.67465694,90.1206351,90.94156647,246929
11/9/2022,91.12399498,92.94829915,89.9746814,92.53782654,239631
11/10/2022,93.44998119,93.49559158,91.08751056,92.49222565,366895
11/11/2022,93.44997825,95.09185479,90.75913239,90.75913239,424886
11/14/2022,92.12736818,93.49559642,91.35204023,91.89933014,193391
11/15/2022,92.12736206,95.9583981,92.12736206,95.77597046,340962
11/16/2022,95.73036007,97.0073744,94.4533527,95.77597046,408578
11/17/2022,97.09858822,97.55466427,95.45671862,96.91616058,310967
11/18/2022,97.60027127,98.3299957,95.95839476,97.64588165,242920
11/21/2022,98.32999291,99.83503821,97.87391689,99.33335876,239185
11/22/2022,99.69822761,102.2978597,99.47018958,100.975235,352650
11/23/2022,100.382337,100.7928027,97.09858404,98.46681213,361428
11/24/2022,98.6492554,99.19654529,97.73710326,97.9651413,139609
11/25/2022,98.64925404,99.33336814,97.69149152,97.82831573,177693
11/28/2022,97.05298479,97.05298479,94.54456652,95.77597046,246088
11/29/2022,96.23204534,97.55466308,95.50232088,97.09858704,184455
11/30/2022,97.46345611,99.24215698,97.18981464,99.24215698,1875288
12/1/2022,99.15093181,99.15093181,96.96177231,98.19317627,394158
12/2/2022,98.19317338,98.64924942,96.87054868,97.60027313,202643
12/5/2022,98.46682451,98.60364873,95.73036799,96.41448212,314934
12/6/2022,97.14419861,97.87392307,95.45671862,95.77597046,256994
12/7/2022,95.59354434,97.50906239,94.86381986,96.23204803,254065
12/8/2022,96.68811795,96.68811795,91.58006783,92.4466095,463136
12/9/2022,92.85708788,93.03951552,91.06926362,92.49222565,290889
12/12/2022,92.12736692,94.40774729,91.67129085,93.22194672,240855
12/13/2022,93.31316575,96.23204978,93.17634154,94.72699738,256470
12/14/2022,94.27092086,94.36213468,92.492227,92.62905121,200140
12/15/2022,92.58344153,93.99728012,88.73415841,89.15374756,513009
12/16/2022,89.93819892,90.72265031,84.81190838,85.41392517,3615659
12/19/2022,86.96457814,89.57333371,86.92809818,88.36929321,453553
12/20/2022,86.92809809,87.56660177,84.44704326,84.75717163,428456
12/21/2022,84.84838685,86.16188812,83.73556711,86.16188812,333290
12/22/2022,86.65444978,87.01931201,83.00584137,83.80853271,322635
12/23/2022,83.93623741,84.83,83.29773369,84.02745819,204385
12/27/2022,85.06731148,87.67606719,84.70244923,86.12540436,250908
12/28/2022,86.67268643,87.05579559,84.39230626,84.7936554,307152
12/29/2022,84.70244287,87.05579692,84.44704141,87.01931,187746
